name,price,rating,reviews,sold,category
Apple iPhone 17 Pro Max - 256GB,520499.0,0.0,0,0,mobiles
Apple iPhone 17 Pro Max - 512GB,607499.0,0.0,0,0,mobiles
Apple iPhone 17 - 256 GB,372999.0,0.0,0,0,mobiles
Infinix Note 60 Pro 8GB / 256GB with Free Powerbank,105999.0,4.0,21,105,mobiles
Samsung Galaxy A07 4GB+64GB - PTA APPROVED,27499.0,4.0,307,65,mobiles
Samsung Galaxy A55 5G || 8GB RAM 256GB ROM || 50 MP + 12 MP + 5 MP Back Camera || 5000 mAh Battery || 6.6 Inches Display,120999.0,0.0,0,0,mobiles
Samsung Galaxy A07 4GB+128GB - PTA APPROVED,32999.0,4.0,177,43,mobiles
Samsung Galaxy A07 6GB+128GB PTA APPROVED,38499.0,4.0,131,39,mobiles
Infinix Hot 60 Pro Plus 8GB+256GB PTA APPROVED,61499.0,4.0,24,275,mobiles
Infinix Smart 20 4GB / 64GB,30999.0,0.0,0,0,mobiles
Infinix GT 50 Pro 12GB / 256GB,154999.0,5.0,1,0,mobiles
Infinix Note 60 8GB+256GB,83999.0,4.0,5,28,mobiles
Infinix Note Edge 8GB / 256GB,74999.0,5.0,5,72,mobiles
Google Pixel 9 Pro XL Official PTA Approved 16 GB - 128/256 GB Dual Sim,208000.0,0.0,0,0,mobiles
Infinix Smart 10 4GB+64GB - PTA APPROVED,30499.0,5.0,21,939,mobiles
vivo V70 FE  5G - 8GB RAM - 256GBGB ROM - 200MP OIS Ultra clear Camera - 7000 mAh Battery - MTK Dimensity 7360 Turbo,124999.0,0.0,0,0,mobiles
Tecno Spark 50 6GB / 128GB,43799.0,5.0,3,43,mobiles
Apple iPhone 13 - 128GB,163999.0,0.0,0,0,mobiles
Samsung Galaxy A56 12/256GB - PTA APPROVED,123899.0,4.0,60,479,mobiles
Infinix Note 60 Edge 5G - 6.78'' AMOLED Display 8GB RAM 256GB ROM  6500mAh Battery PTA Approved 1 Year Official Brand Warranty,87980.0,0.0,0,0,mobiles
Apple iPhone 16 - 128GB,307999.0,0.0,0,0,mobiles
Infinix Hot 60 Pro 8GB+128GB - PTA APPROVED,54999.0,5.0,11,87,mobiles
Carrefour Oppo Mobile Reno13 5G 12 GB RAM 256  GB ROM Blue (294660),129999.0,0.0,0,0,mobiles
OPPO A6 8GB + 256GB,60499.0,5.0,1,29,mobiles
Tecno SPARK 40 Pro 8GB+256GB PTA APPROVED,57999.0,4.0,52,872,mobiles
Samsung A57 5G 8GB/256GB,161999.0,0.0,0,0,mobiles
Apple iPhone 17 Pro - 256GB,483999.0,0.0,0,0,mobiles
Samsung Galaxy S26 Ultra - 256 GB,399999.0,5.0,5,40,mobiles
Samsung Galaxy A17 8GB + 256 GB,59299.0,4.0,96,23,mobiles
"Samsung Galaxy S24 Ultra (12GB RAM, 256GB Storage)",350000.0,5.0,1,0,mobiles
Google Pixel 7 Pro Official PTA Approved 12GB RAM 128GB/256/512GB ROM Dual Sim,114000.0,0.0,0,0,mobiles
Samsung A57 5G 12GB/256GB,177999.0,5.0,2,0,mobiles
Infinix Hot 60i 6GB+128GB PTA APPROVED,42999.0,4.0,17,460,mobiles
vivo V70 - 12GB RAM - 256GB/512GB ROM - 50MP ZEISS Camera - 6500 mAh Battery - SDM 7 Gen 4 Processor,179999.0,5.0,1,7,mobiles
Tecno Camon 40 Pro 8GB+256GB PTA APPROVED,65999.0,5.0,152,48,mobiles
realme 14 5G 12GB RAM + 512GB ROM,99999.0,4.0,3,12,mobiles
Oppo Reno13 5G - (12+256),149998.0,0.0,0,0,mobiles
vivo V70 FE  5G - 12GB RAM - 256GBGB ROM - 200MP OIS Ultra clear Camera - 7000 mAh Battery - MTK Dimensity 7360 Turbo,139999.0,0.0,0,0,mobiles
Redmi A5 4GB+128GB - PTA APPROVED,29699.0,5.0,16,11,mobiles
Infinix Smart 10 Plus 4GB+128GB - PTA APPROVED,32999.0,4.0,17,656,mobiles
INFINIX Note 60 Pro || 8GB+8GB Ram 256GB Rom || 6500mAh Battery,119999.0,0.0,0,0,mobiles
Tecno Spark GO 3 4/64,28999.0,5.0,22,836,mobiles
OPPO A5 Pro | 8GB RAM + 128GB ROM - Active (Open Box),42999.0,5.0,7,71,mobiles
"Samsung Galaxy S22 Ultra Official PTA Approved Dual SIM - 128GB, 256GB, and 512GB",180000.0,0.0,0,0,mobiles
Redmi 15C 6GB +128GB - PTA APPROVED,39999.0,4.0,80,16,mobiles
Redmi Note 15 Pro || 12GB Ram 512GB Rom || 6500mAh Battery,119999.0,0.0,0,0,mobiles
OPPO A6s Pro 8GB+256GB,99999.0,0.0,0,0,mobiles
Samsung Galaxy S25 FE 8GB+256GB PTA APPROVED,182499.0,4.0,4,16,mobiles
Samsung Galaxy S23 Ultra Official PTA Approved Dual SIM - 256GB and 512GB,260000.0,5.0,0,0,mobiles
Vivo Y66 | 100% Inspected Fresh Stock | 4GB RAM 64GB ROM(3/32 for user) | 13MP Camera | Dual Sim Approved | With Box & Charger | Premium Quality |  Vivo Mobile Phone | Globally Customized,9999.0,4.0,192,765,mobiles
"Infinix Note 60 Pro 5G 8GB + 8GB Ram 256GB Rom || 6.78 Inches AMOLED 144Hz 1.5K Display || IP64 , Snapdragon 7s Gen 4 || 6500 mAh Fast Charging 90W || Wireless 30W,",119999.0,0.0,0,0,mobiles
Samsung Galaxy A17 6GB + 128GB PTA APPROVED,51999.0,4.0,41,779,mobiles
Samsung Galaxy S26 Ultra - 512 GB,458999.0,4.0,6,31,mobiles
Redmi 15C 4GB +128GB - PTA APPROVED,33499.0,5.0,11,389,mobiles
Redmi 15 8GB+128GB - PTA APPROVED,45649.0,5.0,35,470,mobiles
"Google Pixel 8 Pro Official PTA Approved (12GB RAM, 128GB/256GB ROM)",168000.0,0.0,0,0,mobiles
Tecno Camon 50 Pro || 8GB+8GB Ram 256GB Rom || 6500mAh Battery,95999.0,0.0,0,0,mobiles
Tecno SPARK 40 Pro Plus 8GB+256GB PTA APPROVED,61399.0,4.0,64,985,mobiles
Tecno Camon 50 8GB + 256GB,78100.0,5.0,3,7,mobiles
Y19S 5500 mh big battery - 50mp camera - Dual sim,25000.0,0.0,0,0,mobiles
Oppo Reno 15 5G 12GB / 512GB,170000.0,0.0,0,0,mobiles
Google Pixel 8 Official PTA Approved 8 GB - 128 GB Dual Sim,112000.0,0.0,0,0,mobiles
Apple iPhone 17 Pro - 512GB,579499.0,0.0,0,0,mobiles
Vivo Y31d - 8GB RAM 128GB ROM 7200mAh Battery 44w Fast Charge PTA Approved 1 Year Official Brand Warranty,63980.0,0.0,0,0,mobiles
Google Pixel 7 Official PTA Approved 8 GB - 128/256 GB Dual Sim,76000.0,0.0,0,0,mobiles
Google Pixel 7 Pro – 6.7″ QHD+ 120Hz | dual sim approved | Tensor G2 | 50MP Triple Camera |  12GB RAM | 128 and 256GB Storage  5000mAh with Fast Wired & Wireless Charging | just like new condition without box,89999.0,0.0,0,0,mobiles
Tecno Camon 40 PRO || 16GB (8GB + 8GB EXTENDED) RAM + 256GB ROM || 5200mAh Battery,72500.0,5.0,2,0,mobiles
iPhone Air- 256GB,397999.0,0.0,0,0,mobiles
Sumsung Galaxy S23 Ultra 12GB / 512GB OFFICAIL PTA APPROVED,285000.0,0.0,0,0,mobiles
vivo X200 FE - 12GB RAM - 512GB - 100X ZEISS Telephoto Zoom - 6500mAh Battery - 90W FlashCharge,219999.0,0.0,0,0,mobiles
REDMI A3 || 4GB Ram 128GB Rom || 5000mAh Battery,29999.0,4.0,64,475,mobiles
Samsung Galaxy S26 - 256 GB,299000.0,0.0,0,5,mobiles
Samsung Galaxy A56 8/256GB - PTA APPROVED,113899.0,4.0,29,357,mobiles
"Vgotel Note 23 - 8GB RAM 256GB ROM - 6.78’’ FHD+ Punch Hole Display, 120Hz Refresh Rate - Dual SIM - 5000mAh Battery",37999.0,5.0,21,50,mobiles
Tecno Camon 50 PRO 8GB/256GB,87449.0,4.0,4,35,mobiles
Vivo V70 - 12GB RAM 256/512GB ROM 6.59'' AMOLED Display 6500 mAh Battery 90w Charge PTA Approved 1 Year Official Brand Warranty,175980.0,0.0,0,0,mobiles
realme C85 Pro 8GB RAM + 256GB ROM,64999.0,5.0,3,16,mobiles
"""Samsung Galaxy S21 Ultra Official PTA Approved 12GB RAM, 128GB Dual Sim",175000.0,0.0,0,0,mobiles
Sony Xperia 1 Mark 3 - RAM 12GB - ROM 256GB - 4500mAh Battery - 6.5 Inch Display - Dust & Water Resistant - Official PTA Approved,95500.0,0.0,0,0,mobiles
INFINIX Hot 60 Pro Plus || 8GB+8GB Ram 256GB Rom || 5160mAH Battery,70999.0,0.0,0,0,mobiles
Vivo Mobile Phone Y85 Global Variant 4GB 64GB – Dual Sim Approved - Imported Model | Superior to Local | +Free Shockproof Jelly Cover | 13MP Dual Camera | with Charger & Handsfree | Best Discounted Price in Pakistan | Vivo Y85 Globally Customized,14999.0,4.0,410,14,mobiles
"Vivo Y66 | Dual Sim | PTA Approve | 4GB Ram 64GB Storage | Long Lasting 3000 MAH Battery | Memory Card Suppirt | Vivo Box , Charger Sim Injector Tool & Phone | Vivo Mobile | Mobile Phone On Easy Installment | Whatsapp , Youtube Facebook & Tiktok Working",8812.0,0.0,0,19,mobiles
Y66 128GB /6GB RAM / 2sim/ 4G LTE/ BEST for low budget/ COMPLETE BOX N ACCESSORIES,9025.0,0.0,0,0,mobiles
Imported ViVo S1 with Box Dual Engine Fast Charger Back Jelly Cover Handsfree Sim Eject Tool - 8/256 RAM ROM (for user 6/128) - Super AMOLED Display - Dual Sim Approved - Vivo Mobile Phone - Vivo Phone - Budget Phone - 4G Mobile - Globally Customized,21993.0,4.0,66,281,mobiles
Vivo Y20s Mobile Phone | 8GB RAM 256GB ROM(For User 4/128) | Android 10 | 5000mAh Battery | Vivo Mobile Phone | Triple Camera | Dual Sim Approved | With Charger Jelly Cover & Handsfree | Globally Customized,19999.0,0.0,0,0,mobiles
Vivo Y19s - 6.74 Inches IPS LCD Display - 8+1GB RAM - 256GB Storage (128GB Usable + 128GB System Reserved) - Official PTA Approved - Fingerprint Sensor - (Phone and Universal Box. No Charger and No Accessories Included - Mix Color),25999.0,5.0,1,0,mobiles
"Redmi Note 14 8GB + 256GB  ,6.67"" AMOLED display 120Hz, IP54,108MP main 20MP front , 5500 mAh battery 33W Turbo",61999.0,5.0,30,89,mobiles
Realme GT7 12GB RAM 512GB ROM - PTA APPROVED,199998.0,4.0,23,81,mobiles
Samsung Galaxy A26 8/256GB - PTA APPROVED,76499.0,4.0,79,778,mobiles
Motorola Edge Plus | 256GB Storage | 12GB RAM | Snapdragon 865 | 5000 mAh Battery | 108MP Camera | Official PTA Approved | Mobile Phone,81999.0,4.0,11,13,mobiles
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment",18700.0,3.0,2,8,mobiles
Google Pixel 7 | 8GB Ram | 128GB storage | dual sim approved | Tensor G2 chipset | 10/10 condition | just like new condition without box,61999.0,5.0,1,6,mobiles
Realme GT 7T 12GB RAM 512GB ROM - PTA APPROVED,169998.0,5.0,6,30,mobiles
